,layer,cat,parent
0,0,被子植物,
1,1,被子植物分支,被子植物
2,1,花,被子植物
3,1,真双子叶植物,被子植物
4,1,双子叶植物纲,被子植物
5,2,金鱼藻目,被子植物分支
6,2,金粟兰科,被子植物分支
7,2,木兰藤目,被子植物分支
8,2,木兰分支,被子植物分支
9,2,无油樟科,被子植物分支
10,2,单子叶植物分支,被子植物分支
11,2,草本花卉,花
12,2,花神,花
13,2,花文化,花
14,2,球根花卉,花
15,2,木本花卉,花
16,2,夜间开花植物,花
17,2,插花,花
18,2,黄杨科,真双子叶植物
19,2,黄杨目,真双子叶植物
20,2,真双子叶植物各属,真双子叶植物
21,2,毛茛目,真双子叶植物
22,2,核心真双子叶植物,真双子叶植物
23,2,昆栏树目,真双子叶植物
24,2,山龙眼目,真双子叶植物
25,1,单子叶植物纲,被子植物
26,2,金缕梅亚纲,双子叶植物纲
27,2,蔷薇亚纲,双子叶植物纲
28,2,菊亚纲,双子叶植物纲
29,2,繖形花目,双子叶植物纲
30,2,石竹亚纲,双子叶植物纲
31,2,木兰亚纲,双子叶植物纲
32,2,五桠果亚纲,双子叶植物纲
33,3,金鱼藻科,金鱼藻目
34,3,金鱼藻属,金鱼藻目
35,3,雪香兰属,金粟兰科
36,3,金粟兰属,金粟兰科
37,3,草珊瑚属,金粟兰科
38,3,蛔形兰属,金粟兰科
39,2,莼菜科,被子植物分支
40,2,睡莲科,被子植物分支
41,3,木兰藤科,木兰藤目
42,3,八角茴香科,木兰藤目
43,3,五味子科,木兰藤目
44,3,胡椒目,木兰分支
45,3,白桂皮目,木兰分支
46,3,樟目,木兰分支
47,3,木兰目,木兰分支
48,2,蓝花,花
49,3,鸭跖草分支,单子叶植物分支
50,3,露兜树目,单子叶植物分支
51,3,薯蓣目,单子叶植物分支
52,3,菖蒲目,单子叶植物分支
53,3,百合目,单子叶植物分支
54,3,无叶莲科,单子叶植物分支
55,3,天门冬目,单子叶植物分支
56,2,花菜类,花
57,2,花艺,花
58,3,花器,花文化
59,3,盆栽,花文化
60,2,花卉品种,花
61,3,牡丹文化,花文化
62,2,樱花,花
63,3,插花,花文化
64,3,市花,花文化
65,2,花题材作品,花
66,3,国花,花文化
67,3,中国花文化,花文化
68,3,黄杨属,黄杨科
69,3,野扇花属,黄杨科
70,3,菊属,真双子叶植物各属
71,3,马桑科,毛茛目
72,3,超菊类植物,核心真双子叶植物
73,3,虎耳草目,核心真双子叶植物
74,3,莲科,山龙眼目
75,2,鸭跖草亚纲,单子叶植物纲
76,3,金缕梅目,金缕梅亚纲
77,3,鼠李目,蔷薇亚纲
78,3,伞形目,繖形花目
79,3,蓼目,石竹亚纲
80,3,蓝雪目,石竹亚纲
81,3,马兜铃目,木兰亚纲
82,4,金鱼藻属,金鱼藻科
83,3,锦葵目,五桠果亚纲
84,3,藜木目,五桠果亚纲
85,3,肉穗果目,五桠果亚纲
86,3,玉蕊目,五桠果亚纲
87,3,猪笼草目,五桠果亚纲
88,3,莼菜属,莼菜科
89,3,萍蓬草属,睡莲科
90,4,木兰藤属,木兰藤科
91,4,八角属,八角茴香科
92,4,五味子属,五味子科
93,4,胡椒科,胡椒目
94,4,蜡梅科,樟目
95,4,肉荳蔻科,木兰目
96,4,番荔枝科,木兰目
97,4,林仙科,木兰目
98,4,露兜树科,露兜树目
99,4,霉草科,露兜树目
100,4,菖蒲科,菖蒲目
101,3,泽泻目,单子叶植物分支
102,4,龙舌兰科,百合目
103,4,黑药花科,百合目
104,4,龙舌兰科,天门冬目
105,4,鸢尾蒜科,天门冬目
106,4,香水花科,天门冬目
107,4,风信子科,天门冬目
108,4,中国市花,市花
109,4,中国市花,中国花文化
110,4,非洲菝葜科,天门冬目
111,4,阿福花科,天门冬目
112,4,马桑属,马桑科
113,4,菊类植物,超菊类植物
114,4,齿蕊科,虎耳草目
115,4,莲属,莲科
116,3,鸭跖草目,鸭跖草亚纲
117,4,领春木科,金缕梅目
118,3,龙胆目,菊亚纲
119,4,火筒树科,鼠李目
120,4,金缕梅科,金缕梅目
121,4,蓼科,蓼目
122,4,蓝雪科,蓝雪目
123,4,鞘柄木科,伞形目
124,4,裂果红科,伞形目
125,4,龙脑香科,锦葵目
126,4,藜木科,藜木目
127,4,环蕊科,藜木目
128,4,锦葵科,锦葵目
129,4,玉蕊科,玉蕊目
130,4,瓶子草科,猪笼草目
131,4,猪笼草科,猪笼草目
132,4,苦皮树科,锦葵目
133,4,红木科,锦葵目
134,4,马兜铃科,胡椒目
135,4,簇花草科,锦葵目
136,5,齐头绒属,胡椒科
137,5,蜡梅属,蜡梅科
138,5,肉豆蔻属,肉荳蔻科
139,5,鹿茸木属,番荔枝科
140,5,鹰爪花属,番荔枝科
141,5,喜荫草属,霉草科
142,5,菖蒲属,菖蒲科
143,4,黄花绒叶草科,泽泻目
144,4,花蔺科,泽泻目
145,4,眼子菜科,泽泻目
146,5,重楼属,黑药花科
147,4,鸢尾科,天门冬目
148,3,华道,花艺
149,3,花卉市场,花艺
150,3,花卉展览,花艺
151,5,鸢尾蒜属,鸢尾蒜科
152,5,藜芦属,黑药花科
153,3,樱花题材歌曲,樱花
154,4,华道,插花
155,3,花题材歌曲,花题材作品
156,3,日本樱名所100选,樱花
157,5,葡萄风信子属,风信子科
158,5,绵枣儿属,风信子科
159,5,判官笔属,风信子科
160,5,延龄草属,黑药花科
161,5,桔梗类植物,菊类植物
162,5,杜鹃花目,菊类植物
163,5,山茱萸目,菊类植物
164,4,黄眼草科,鸭跖草目
165,4,鸭跖草科,鸭跖草目
166,5,鞘柄木属,鞘柄木科
167,5,补血草属,蓝雪科
168,5,柳安属,龙脑香科
169,5,青梅属,龙脑香科
170,5,猪笼草属,猪笼草科
171,5,红木属,红木科
172,5,玉蕊属,玉蕊科
173,5,美洲簇花草属,簇花草科
174,5,簇花草属,簇花草科
175,5,马蹄香属,马兜铃科
176,5,马兜铃属,马兜铃科
177,5,细辛属,马兜铃科
178,5,露兜树属,露兜树科
179,5,线果兜铃属,马兜铃科
180,5,关木通属,马兜铃科
181,5,拟花蔺属,花蔺科
182,5,眼子菜属,眼子菜科
183,5,篦齿眼子菜属,眼子菜科
184,4,池坊,华道
185,5,鸢尾属,鸢尾科
186,5,番红花属,鸢尾科
187,5,小苍兰属,鸢尾科
188,5,风信子属,风信子科
189,5,虎眼万年青属,风信子科
190,5,池坊,华道
191,5,肖鸢尾属,鸢尾科
192,5,庭菖蒲属,鸢尾科
193,5,唐菖蒲属,鸢尾科
194,6,菊目,桔梗类植物
195,6,银钟花科,杜鹃花目
196,6,蜜囊花科,杜鹃花目
197,5,黄眼草属,黄眼草科
198,4,龙胆科,龙胆目
199,4,马钱科,龙胆目
200,4,钩吻科,龙胆目
201,5,虎杖属,蓼科
202,5,蓼属,蓼科
203,5,鸭跖草属,鸭跖草科
204,5,蓝耳草属,鸭跖草科
205,5,聚花草属,鸭跖草科
206,5,龙脑香科小作品,龙脑香科
207,5,网籽草属,鸭跖草科
208,5,非洲芙蓉亚科,锦葵科
209,5,杯萼亚科,锦葵科
210,5,瓶子草属,瓶子草科
211,5,竹叶子属,鸭跖草科
212,5,太阳瓶子草属,瓶子草科
213,6,猪笼草属自然杂交种,猪笼草属
214,6,猪笼草属栽培种,猪笼草属
215,6,猪笼草属文献,猪笼草属
216,6,猪笼草属异物同名,猪笼草属
217,6,猪笼草底内动物,猪笼草属
218,5,竹叶吉祥草属,鸭跖草科
219,5,穿鞘花属,鸭跖草科
220,5,水竹叶属,鸭跖草科
221,5,杜若属,鸭跖草科
222,5,巴西坚果属,玉蕊科
223,5,砲弹树属,玉蕊科
224,5,假紫万年青属,鸭跖草科
225,5,三瓣果属,鸭跖草科
226,5,鞘苞花属,鸭跖草科
227,5,锦葵科小作品,锦葵科
228,4,华道流派,华道
229,5,毛果竹叶菜属,鸭跖草科
230,4,园艺博览会,花卉展览
231,5,鸭跖草亚科,鸭跖草科
232,5,葱草属,黄眼草科
233,5,华道流派,华道
234,6,蓝果树科,山茱萸目
235,4,向日葵题材歌曲,花题材歌曲
236,6,绣球花科,山茱萸目
237,6,珙桐科,山茱萸目
238,6,水穗草科,山茱萸目
239,6,山茱萸科,山茱萸目
240,6,南非茱萸科,山茱萸目
241,6,刺莲花科,山茱萸目
242,7,雪叶科,菊目
243,7,陀螺果科,菊目
244,7,菊科,菊目
245,7,草海桐科,菊目
246,5,龙胆属,龙胆科
247,5,马钱属,马钱科
248,5,伪木荔枝属,马钱科
249,5,髯管花属,马钱科
250,5,拟九节属,马钱科
251,5,尖帽草属,马钱科
252,5,度量草属,马钱科
253,5,辐花属,龙胆科
254,5,藻百年属,龙胆科
255,6,柄翅果属,非洲芙蓉亚科
256,6,滨珥花属,非洲芙蓉亚科
257,5,花锚属,龙胆科
258,5,穿心草属,龙胆科
259,5,百金花属,龙胆科
260,5,獐牙菜属,龙胆科
261,6,猪笼草属小作品,猪笼草属
262,5,灰莉属,龙胆科
263,5,滇黄芩属,龙胆科
264,5,扁蕾属,龙胆科
265,5,小黄管属,龙胆科
266,5,双蝴属,龙胆科
267,5,匙叶草属,龙胆科
268,5,假龙胆属,龙胆科
269,5,侧蕊属,龙胆科
270,5,翼萼蔓属,龙胆科
271,5,蔓龙胆属,龙胆科
272,5,口药花属,龙胆科
273,5,寄生龙胆属,龙胆科
274,5,喉毛花属,龙胆科
275,5,大钟花属,龙胆科
276,5,国际园艺博览会,园艺博览会
277,6,紫露草族,鸭跖草亚科
278,5,锦竹草属,鸭跖草科
279,7,花柱草科,菊目
280,6,番红花,番红花属
281,7,石冬青科,菊目
282,7,珙桐属,蓝果树科
283,7,喜树属,蓝果树科
284,7,绣球属,绣球花科
285,7,珙桐属,珙桐科
286,7,溲疏属,绣球花科
287,7,山茱萸属,山茱萸科
288,7,四照花属,山茱萸科
289,7,灯台树属,山茱萸科
290,7,大果五加属,山茱萸科
291,8,包果菊属,菊科
292,8,草海桐属,草海桐科
293,8,美柱草属,草海桐科
294,5,钩吻属,钩吻科
295,5,蓬莱葛属,马钱科
296,8,金鸾花属,草海桐科
297,8,蔓泽兰属,菊科
298,8,蓝刺头属,菊科
299,8,蓍属,菊科
300,8,蒲儿根属,菊科
301,8,葶菊属,菊科
302,8,菜蓟属,菊科
303,8,菊蒿属,菊科
304,8,菊芹属,菊科
305,8,菊亚科,菊科
306,5,肋柱花属,龙胆科
307,8,菊三七属,菊科
308,8,莎菀属,菊科
309,8,苦苣菜属,菊科
310,8,苓菊属,菊科
311,8,苍术属,菊科
312,8,苇谷草属,菊科
313,8,花花柴属,菊科
314,8,花佩菊属,菊科
315,8,芙蓉菊属,菊科
316,8,艾蒿属,菊科
317,8,艾纳香属,菊科
318,8,舌状花亚科,菊科
319,8,肿柄菊属,菊科
320,8,肋果蓟属,菊科
321,8,翼茎草属,菊科
322,8,翠菊属,菊科
323,8,翅膜菊属,菊科
324,8,翅果菊属,菊科
325,8,羽叶菊属,菊科
326,6,国际园艺博览会_(A2),国际园艺博览会
327,7,紫露草亚族,紫露草族
328,8,绢蒿属,菊科
329,8,绢毛苣属,菊科
330,8,花柱草属,花柱草科
331,8,细莴苣属,菊科
332,8,线苞果属,菊科
333,8,线叶菊属,菊科
334,8,纹苞菊属,菊科
335,8,红花属,菊科
336,8,紫菊属,菊科
337,7,草茱萸属,山茱萸科
338,8,紫菀木属,菊科
339,8,粘冠草属,菊科
340,8,粉苞菊属,菊科
341,8,粉苞苣属,菊科
342,8,管状花亚科,菊科
343,8,稻槎菜属,菊科
344,8,秋分草属,菊科
345,8,石胡荽属,菊科
346,8,短舌菊属,菊科
347,8,短星菊属,菊科
348,8,矢车菊属,菊科
349,8,百花蒿属,菊科
350,8,百能葳属,菊科
351,8,白酒草属,菊科
352,8,白菊木属,菊科
353,8,白刺菊属,菊科
354,8,疆菊属,菊科
355,8,画笔菊属,菊科
356,8,田基黄属,菊科
357,9,金鸡菊族,菊亚科
358,9,紫菀族,菊亚科
359,9,千里光族,菊亚科
360,9,向日葵族,菊亚科
361,9,鼠麴草族,菊亚科
362,8,瓜叶菊属,菊科
363,8,琉苞菊属,菊科
364,8,珀菊属,菊科
365,8,狗舌草属,菊科
366,8,狗娃花属,菊科
367,8,牛蒡属,菊科
368,9,菊苣族,舌状花亚科
369,9,斑鸠菊族,舌状花亚科
370,8,牛膝菊属,菊科
371,8,泥胡菜属,菊科
372,8,沼菊属,菊科
373,8,沙苦荬属,菊科
374,8,紫露草属,紫露草亚族
375,8,水飞蓟属,菊科
376,8,毛鳞菊属,菊科
377,8,毛连菜属,菊科
378,8,毛蕊菊属,菊科
379,8,毛菊属,菊科
380,8,母菊属,菊科
381,8,歧伞菊属,菊科
382,8,橐吾属,菊科
383,8,栓果菊属,菊科
384,8,栌菊木属,菊科
385,8,栉叶蒿属,菊科
386,8,杯菊属,菊科
387,9,菜蓟族,管状花亚科
388,9,泽兰族,管状花亚科
389,8,春黄菊属,菊科
390,8,旋覆花属,菊科
391,8,扁芒菊属,菊科
392,8,戴星草属,菊科
393,8,戟叶菊属,菊科
394,8,异裂菊属,菊科
395,8,异喙菊属,菊科
396,8,帚菊属,菊科
397,8,川木香属,菊科
398,8,岩参属,菊科
399,8,山黄菊属,菊科
400,8,山牛蒡属,菊科
401,10,大丽菊属,金鸡菊族
402,10,千里光属,千里光族
403,10,碱菀属,紫菀族
404,8,甜菊属,菊科
405,10,蝶须属,鼠麴草族
406,10,百日菊属,向日葵族
407,10,向日葵属,向日葵族
408,10,苍耳属,向日葵族
409,10,斑鸠菊属,斑鸠菊族
410,8,火绒草属,菊科
411,8,滨菊属,菊科
412,10,莴苣属,菊苣族
413,10,福王草属,菊苣族
414,10,盘果菊属,菊苣族
415,10,耳菊属,菊苣族
416,10,苦荬菜属,菊苣族
417,10,小苦荬属,菊苣族
418,10,菊苣属,菊苣族
419,10,纵脉菀属,紫菀族
420,8,山柳菊属,菊科
421,8,小舌菊属,菊科
422,8,小甘菊属,菊科
423,8,小滨菊属,菊科
424,8,款冬属,菊科
425,8,寡毛菊属,菊科
426,8,寒蓬属,菊科
427,8,婆罗门参属,菊科
428,8,女蒿属,菊科
429,8,头嘴菊属,菊科
430,8,太行菊属,菊科
431,8,天山蓍属,菊科
432,8,昭和草属,菊科
433,10,泽兰属,泽兰族
434,8,天名精属,菊科
435,8,天人菊属,菊科
436,8,大翅蓟属,菊科
437,8,大吴风草属,菊科
438,8,大丁草属,菊科
439,8,多榔菊属,菊科
440,8,复芒菊属,菊科
441,8,垂头菊属,菊科
442,8,地胆草属,菊科
443,8,喀什菊属,菊科
444,8,合苞草属,菊科
445,10,秋英属,金鸡菊族
446,8,合耳菊属,菊科
447,8,合头菊属,菊科
448,8,厚喙菊属,菊科
449,8,华蟹甲属,菊科
450,10,独毛金绒草属,鼠麴草族
451,8,半毛菊属,菊科
452,10,鳢肠亚族,向日葵族
453,10,紫锥花属,向日葵族
454,8,勋章菊属,菊科
455,8,剌苞菊属,菊科
456,8,刺苞果属,菊科
457,10,蒲公英属,菊苣族
458,8,刺头菊属,菊科
459,8,刺冠菊属,菊科
460,8,凤毛菊属,菊科
461,8,凋缨菊属,菊科
462,8,六棱菊属,菊科
463,8,兔儿风属,菊科
464,8,兔儿伞属,菊科
465,8,假还阳参属,菊科
466,8,假福王草属,菊科
467,8,假泽兰属,菊科
468,10,紫菀属,紫菀族
469,8,假小喙菊属,菊科
470,8,亚菊属,菊科
471,8,乳苣属,菊科
472,8,东风菜属,菊科
473,8,下田菊属,菊科
474,8,万寿菊属,菊科
475,8,一点红属,菊科
476,8,一枝黄花属,菊科
477,8,藏菊属,菊科
478,8,黄鹌菜属,菊科
479,8,野菊属,菊科
480,8,异型菊属,菊科
481,8,岩菊属,菊科
482,8,亚飞廉属,菊科
483,8,云木香属,菊科
484,8,香茹属,菊科
485,8,香泽兰属,菊科
486,8,线嘴苣属,菊科
487,8,絮菊属,菊科
488,8,斜果菊属,菊科
489,8,小葵子属,菊科
490,8,小疮菊属,菊科
491,8,紊蒿属,菊科
492,8,茼蒿属,菊科
493,8,头嘴苣属,菊科
494,8,兔苣属,菊科
495,8,赛菊芋属,菊科
496,8,松香草属,菊科
497,8,山芫荽属,菊科
498,8,匹菊属,菊科
499,8,三肋果属,菊科
500,8,肉菊属,菊科
501,8,球菊属,菊科
502,8,歧笔菊属,菊科
503,11,鳢肠属,鳢肠亚族
504,8,全光菊属,菊科
505,8,瓶头菊属,菊科
506,8,麻菀属,菊科
507,8,毛足菊属,菊科
508,11,莴苣,莴苣属
509,8,棉毛草属,菊科
510,8,木茼蒿属,菊科
511,8,联毛紫菀属,菊科
512,8,漏芦属,菊科
513,8,孔雀草属,菊科
514,8,金菀木属,菊科
515,8,寄树兰属,菊科
516,8,假藿香蓟属,菊科
517,8,假橐吾属,菊科
518,8,黄胶菊属,菊科
519,8,黄缨菊属,菊科
520,8,河西菊属,菊科
521,8,厚肋苦荬菜属,菊科
522,8,革苞菊属,菊科
523,8,果香菊属,菊科
524,8,堆心菊属,菊科
525,8,刺苞菊属,菊科
526,8,刺儿菜属,菊科
527,7,单室茱萸属,山茱萸科
528,7,山梅花属,绣球花科
529,7,黄山梅属,绣球花科
530,7,赤壁草属,绣球花科
531,7,常山属,绣球花科
532,7,叉叶蓝属,绣球花科
533,7,睡菜科,菊目
534,7,桔梗科,菊目
535,7,头花草科,菊目
536,7,卢梭木科,菊目
537,7,假海桐科,菊目
538,7,五膜草科,菊目
539,6,八角枫科,山茱萸目
540,6,假石南科,山茱萸目
541,6,花荵科,杜鹃花目
542,6,肋果茶科,杜鹃花目
543,11,孪花菊属,鳢肠亚族
544,11,南美蟛蜞菊属,鳢肠亚族
545,6,翅萼树科,杜鹃花目
546,6,福桂花科,杜鹃花目
547,6,猕猴桃科,杜鹃花目
548,8,猫腥菊属,菊科
549,6,水晶兰科,杜鹃花目
550,6,柿树科,杜鹃花目
551,6,杜茎山科,杜鹃花目
552,8,离药金药箭属,菊科
553,6,捕蝇幌科,杜鹃花目
554,6,报春花科,杜鹃花目
555,6,帽蕊草科,杜鹃花目
556,6,岩高兰科,杜鹃花目
557,8,金腰箭舅属,菊科
558,6,岩梅科,杜鹃花目
559,6,山茶科,杜鹃花目
560,6,山矾科,杜鹃花目
561,6,山榄科,杜鹃花目
562,6,山柳科,杜鹃花目
563,8,黄顶菊属,菊科
564,6,安息香科,杜鹃花目
565,8,厚敦菊属,菊科
566,8,鬼督邮属,菊科
567,6,四籽树科,杜鹃花目
568,6,厚皮香科,杜鹃花目
569,8,光冠菊属,菊科
570,6,凤仙花科,杜鹃花目
571,8,春黄菊族,菊科
572,6,假轮叶科,杜鹃花目
573,6,假红树科,杜鹃花目
574,6,假石南科,杜鹃花目
575,6,五列木科,杜鹃花目
576,6,越桔科,杜鹃花目
577,6,离水花科,桔梗类植物
578,6,楔蕊花科,桔梗类植物
579,6,弯药树科,桔梗类植物
580,6,川续断目,桔梗类植物
581,7,蓝果树属,蓝果树科
582,8,袋果草属,桔梗科
583,8,蓝花参属,桔梗科
584,8,细钟花属,桔梗科
585,8,沙参属,桔梗科
586,8,桔梗属,桔梗科
587,7,八角枫属,八角枫科
588,7,天蓝绣球属,花荵科
589,7,肋果茶属,肋果茶科
590,7,电灯花属,花荵科
591,8,山梗菜属,桔梗科
592,7,藤山柳属,猕猴桃科
593,7,水东哥属,猕猴桃科
594,6,杜鹃花科,杜鹃花目
595,7,柿树属,柿树科
596,7,柿属,柿树科
597,7,杜茎山属,杜茎山科
598,7,拟水晶兰属,水晶兰科
599,7,酸藤子属,报春花科
600,7,帽蕊草属,帽蕊草科
601,7,紫金牛属,报春花科
602,7,岩梅属,岩梅科
603,7,旃檀属,山茶科
604,7,紫茎属,山茶科
605,7,金叶树属,山榄科
606,7,桤叶树属,山柳科
607,6,尖苞树科,杜鹃花目
608,7,胶木属,山榄科
609,7,刺榄属,山榄科
610,7,陀螺果属,安息香科
611,7,安息香属,安息香科
612,7,山茉莉属,安息香科
613,7,茉莉果属,安息香科
614,7,赤杨叶属,安息香科
615,7,水角属,凤仙花科
616,7,凤仙花属,凤仙花科
617,9,蒿属,春黄菊族
618,7,秤锤树属,安息香科
619,7,白辛树属,安息香科
620,6,杜鹃花目小作品,杜鹃花目
621,7,木瓜红属,安息香科
622,7,五翅莓属,越桔科
623,7,藏榄属,山榄科
624,7,紫荆木属,山榄科
625,7,铁榄属,山榄科
626,7,黄锦带科,川续断目
627,7,忍冬科,川续断目
628,8,莕菜属,睡菜科
629,7,北极花科,川续断目
630,7,刺续断科,川续断目
631,7,五福花科,川续断目
632,7,梭子果属,山榄科
633,7,肉实树属,山榄科
634,7,花荵属,花荵科
635,7,金叶树亚科,山榄科
636,7,山矾属,山矾科
637,7,折柄茶属,山茶科
638,7,石笔木属,山茶科
639,8,异檐花属,桔梗科
640,7,猕猴桃属,猕猴桃科
641,7,厚皮香属,山茶科
642,7,柯树属,山茶科
643,7,鹿蹄草属,杜鹃花科
644,7,马醉木属,杜鹃花科
645,7,锦绦花属,杜鹃花科
646,7,越桔属,杜鹃花科
647,7,白珠树属,杜鹃花科
648,7,奴草属,帽蕊草科
649,7,浆果鹃属,杜鹃花科
650,7,水晶兰属,杜鹃花科
651,7,欧石楠属,杜鹃花科
652,7,树萝卜属,杜鹃花科
653,7,栂樱属,杜鹃花科
654,7,杜鹃花属,杜鹃花科
655,7,杉叶杜鹃属,杜鹃花科
656,7,木藜芦属,杜鹃花科
657,7,岩高兰属,杜鹃花科
658,7,天栌属,杜鹃花科
659,7,地桂属,杜鹃花科
660,7,喜冬草属,杜鹃花科
661,7,吊钟花属,杜鹃花科
662,7,单侧花属,杜鹃花科
663,7,珍珠花属,杜鹃花科
664,7,弯柱杜鹃属,杜鹃花科
665,7,沙晶兰属,杜鹃花科
666,7,杉叶杜属,杜鹃花科
667,7,金叶子属,杜鹃花科
668,7,伏地杜鹃属,杜鹃花科
669,7,杜香属,杜鹃花科
670,7,核果茶属,山茶科
671,7,人心果亚科,山榄科
672,8,鬼吹箫属,忍冬科
673,8,锦带花属,忍冬科
674,8,败酱属,忍冬科
675,8,蓝盆花属,忍冬科
676,8,荚蒾属,五福花科
677,8,接骨木属,五福花科
678,8,四福花属,五福花科
679,8,莛子藨属,忍冬科
680,8,桃榄属,金叶树亚科
681,8,山榄属,金叶树亚科
682,8,缬草属,忍冬科
683,8,甘松属,忍冬科
684,8,毛核木属,忍冬科
685,8,新缬草属,忍冬科
686,8,忍冬属,忍冬科
687,8,双盾木属,忍冬科
688,8,北极花属,忍冬科
689,8,六道木属,忍冬科
690,8,七子花属,忍冬科
691,8,翼首花属,忍冬科
692,7,越橘属,杜鹃花科
693,7,熊果属,杜鹃花科
694,8,双参属,忍冬科
695,7,澳石楠属,杜鹃花科
696,8,川续断属,忍冬科
697,8,刺续断属,忍冬科
698,7,多瓣核果茶属,山茶科
699,7,南美大头茶属,山茶科
700,7,大头茶属,山茶科
701,7,柃木属,山茶科
702,7,红淡比属,山茶科
703,7,圆籽荷属,山茶科
704,7,茶梨属,山茶科
705,7,帚石楠属,杜鹃花科
706,7,杨桐属,山茶科
707,7,岩扇属,岩梅科
708,7,岩匙属,岩梅科
709,7,喇叭茶亚属,杜鹃花科
710,7,管金牛属,报春花科
711,7,珍珠菜属,报春花科
712,7,独花报春属,报春花科
713,7,点地梅属,报春花科
714,7,水茴草属,报春花科
715,7,假报春属,报春花科
716,7,七瓣莲属,报春花科
717,7,铁仔属,报春花科
718,7,北极果属,杜鹃花科
719,8,人心果族,人心果亚科
720,7,施丁草属,报春花科
721,7,密花树属,报春花科
722,7,蜡烛果属,报春花科
723,7,琉璃繁缕属,报春花科
724,7,假婆婆纳属,报春花科
725,7,海乳草属,报春花科
726,7,长果报春属,报春花科
727,7,假水晶兰属,水晶兰科
728,8,异钟花属,桔梗科
729,8,五膜草属,桔梗科
730,8,铜锤玉带属,桔梗科
731,8,同瓣草属,桔梗科
732,8,山奶草属,桔梗科
733,8,密穗桔梗属,桔梗科
734,8,金钱豹属,桔梗科
735,8,蓝钟花属,桔梗科
736,8,党参属,桔梗科
737,8,风铃草属,桔梗科
738,8,牧根草属,桔梗科
739,8,半边莲科,桔梗科
740,6,南鼠刺科,桔梗类植物
741,6,冬青目,桔梗类植物
742,5,虎皮花属,鸢尾科
743,5,红葱属,鸢尾科
744,5,观音兰属,鸢尾科
745,5,地蜂草属,鸢尾科
746,5,肖槿属,锦葵科
747,5,旋葵属,锦葵科
748,5,椴树亚科,锦葵科
749,5,赛葵属,锦葵科
750,7,山茶属,山茶科
751,5,十裂葵属,锦葵科
752,5,泡果苘属,锦葵科
753,5,锦葵亚科,锦葵科
754,5,山芝麻亚科,锦葵科
755,5,扁担杆亚科,锦葵科
756,5,隔蒴苘属,锦葵科
757,5,大萼葵属,锦葵科
758,5,翅果麻属,锦葵科
759,5,木棉亚科,锦葵科
760,5,坡垒属,龙脑香科
761,5,龙脑香亚科,龙脑香科
762,7,报春花属,报春花科
763,5,伊犁花属,蓝雪科
764,7,仙客来属,报春花科
765,5,驼舌草属,蓝雪科
766,9,铁线子属,人心果族
767,5,蓝雪属,蓝雪科
768,5,鸡娃草属,蓝雪科
769,5,沙拐枣属,蓼科
770,5,拳参属,蓼科
771,5,竹节蓼属,蓼科
772,5,酸模属,蓼科
773,5,翼蓼属,蓼科
774,5,翅果蓼属,蓼科
775,5,山蓼属,蓼科
776,5,冰岛蓼属,蓼科
777,5,何首乌属,蓼科
778,5,木蓼属,蓼科
779,5,珊瑚藤属,蓼科
780,5,蕈树属,金缕梅科
781,5,水丝梨属,金缕梅科
782,5,山铜材属,金缕梅科
783,5,山白树属,金缕梅科
784,9,半边莲属,半边莲科
785,7,智利木属,南鼠刺科
786,7,青荚叶科,冬青目
787,7,金檀木科,冬青目
788,7,心翼果科,冬青目
789,7,冬青科,冬青目
790,5,马蝶花属,鸢尾科
791,7,叶顶花科,冬青目
792,7,多香木属,南鼠刺科
793,7,寄奴花属,南鼠刺科
794,6,椴树属,椴树亚科
